site_name,PC1,PC2
BBRP1,-0.9072522735461588,-0.02573144895625042
ERRP1,-0.9137466350071204,0.005763707318719598
FGC1,-0.632890351693737,-0.31435932507676656
FGREM1,-0.632890351693737,-0.3143593250767665
FGRP1,-0.7609912304823252,-0.5279258420537533
FLC1,0.8797036130897498,-0.20377765416985183
FLC2,0.89419697416759,-0.22921684146633167
FLREM1,0.8797036130897498,-0.20377765416985183
FLRP1,0.8842895695622414,-0.22021791003780997
FLRP4,0.8842895695622414,-0.22021791003780997
FLRP5,0.8842895695622414,-0.22021791003780997
FLRSP1,0.8842895695622414,-0.22021791003780997
FLRSP2,0.89419697416759,-0.22921684146633167
FLRSP3,0.8842895695622414,-0.22021791003780997
KORP1,-0.6922747903941223,-0.035991613151271924
LPC1,0.2922226028128564,0.7773739759428594
LPREM1,0.2922226028128564,0.7773739759428594
LPRP1,0.2922226028128564,0.7773739759428594
LPRP2,0.2922226028128564,0.7773739759428594
MBREM1,-0.6501775312656987,-0.04137058519552154
MBRP1,-0.6501775312656987,-0.04137058519552154
MHRP1,-0.9998611786895881,-0.0517003157415135
MHRP2,-0.9998611786895881,-0.0517003157415135
PHC1,-0.6490081904247681,0.12816414328011785
PHRP1,-0.6490081904247681,0.12816414328011785
