field_name,annual,biennial,perennial,native,nonnative,C3_grass,C4_grass,forb,legume,shrubTree
BBRP1,1.9,8.7,79.89999999999999,88.99999999999999,1.5,0,35,50.2,5,0.3
ERRP1,0,22.7,73.40000000000002,56.20000000000001,39.9,13,14.2,64.80000000000001,3.9,0.2
FGC1,99.1,0,0.2,0.1,99.2,0.1,99,0.2,0,0
FGREM1,2.4,1.3,77.80000000000001,75.70000000000002,1,0.1,9.700000000000001,58.19999999999999,0.5,12.9
FGRP1,0.1,1,91,79.8,6.6000000000000005,9.2,16.5,51.7,14.4,0.2
KORP1,0.1,0,70.2,67.7,0,2.6,45.7,18.3,3.2,0.5
LPREM1,20.200000000000003,1.7,76.39999999999999,88.8,7.3999999999999995,21.000000000000004,29.7,38.900000000000006,0,8.7
LPRP1,4,1.4000000000000001,85.4,84.19999999999999,6.6000000000000005,5.8,7.800000000000001,73.39999999999999,3.8,0
LPRP2,2.9,3,90.00000000000003,91.40000000000002,3.9,4.699999999999999,17.4,68.1,5.7,0
MBREM1,0.9,4,90.7,88.70000000000002,6.8999999999999995,2.2,37.5,30.4,2.9000000000000004,7.4
MBRP1,10.499999999999998,2.2,79.50000000000001,74.20000000000002,18,14.1,19.8,39.20000000000001,3.8,15.3
MHRP1,12.199999999999996,7.6000000000000005,74.8,80.60000000000001,13.999999999999996,7.3,14.299999999999999,70.30000000000001,2.1,0.6000000000000001
MHRP2,50.4,15.2,29.800000000000004,89.8,5.6,0.4,0.1,91.49999999999999,3.4,0
PHRP1,0,15.5,83.89999999999999,97.1,2.3,0.4,20.400000000000002,76.19999999999999,1.3,1.1
LPC1,72,0,0,0,72,0,72,0,0,0
PHC1,82.4,0,0,0,82.4,0,82.4,0,0,0
