field_name,dbRDA1,dbRDA2
BBRP1,0.9310482352110147,0.5607255780895954
ERRP1,-0.04721547781124885,-0.23082365304518965
FGRP1,-0.5495648516012236,0.860418194236126
FLRP1,0.7459163480527407,-0.6817536768578866
FLRP4,1.0149306267634224,-0.8709027913349071
FLRP5,0.9238333349353985,-0.7808765854707043
KORP1,0.6608489036418236,1.4857834392653444
LPRP1,-0.8787625647853508,-0.5918087822800561
LPRP2,-0.5368630923529123,-0.7036627163386515
MBRP1,0.13092674553992073,1.0166522186227938
MHRP1,-0.9383104923827146,0.35123308311220913
MHRP2,-1.0477491615970367,-0.4118995125343059
PHRP1,-0.4090385536138337,-0.0030847954643669056
